path,error
./data/editions/C_0069.xml,"ID w271 already defined, line 292, column 204 (C_0069.xml, line 292)"
./data/editions/C_0109.xml,"ID w400 already defined, line 327, column 29 (C_0109.xml, line 327)"
./data/editions/C_0045.xml,"ID w393 already defined, line 538, column 419 (C_0045.xml, line 538)"
./data/editions/C_0094.xml,"ID w329 already defined, line 241, column 180 (C_0094.xml, line 241)"
./data/editions/C_0088.xml,"ID w204 already defined, line 210, column 88 (C_0088.xml, line 210)"
./data/editions/C_0095.xml,"ID w445 already defined, line 327, column 148 (C_0095.xml, line 327)"
./data/editions/C_0086.xml,"ID w328 already defined, line 285, column 176 (C_0086.xml, line 285)"
./data/editions/A_0003.xml,"ID facs_6_r1001 already defined, line 291, column 98 (A_0003.xml, line 291)"
./data/editions/C_0093.xml,"ID w307 already defined, line 285, column 157 (C_0093.xml, line 285)"
./data/editions/C_0090.xml,"ID w184 already defined, line 434, column 186 (C_0090.xml, line 434)"
./data/editions/C_0002.xml,"ID w35 already defined, line 165, column 103 (C_0002.xml, line 165)"
./data/editions/C_0096.xml,"ID w278 already defined, line 227, column 154 (C_0096.xml, line 227)"
./data/editions/C_0083.xml,"ID w452 already defined, line 310, column 231 (C_0083.xml, line 310)"
./data/editions/C_0008.xml,"ID p7 already defined, line 938, column 71 (C_0008.xml, line 938)"
./data/editions/C_0054.xml,"ID w1088 already defined, line 666, column 185 (C_0054.xml, line 666)"
./data/editions/C_0099.xml,"ID w346 already defined, line 304, column 162 (C_0099.xml, line 304)"
./data/editions/C_0108.xml,"ID w695 already defined, line 522, column 29 (C_0108.xml, line 522)"
./data/editions/C_0044.xml,"ID w1866 already defined, line 888, column 60 (C_0044.xml, line 888)"
./data/editions/C_0076.xml,"ID w600 already defined, line 423, column 151 (C_0076.xml, line 423)"
./data/editions/C_0087.xml,"ID w541 already defined, line 369, column 64 (C_0087.xml, line 369)"
./data/editions/C_0040.xml,"ID w149 already defined, line 202, column 154 (C_0040.xml, line 202)"
./data/editions/C_0089.xml,"ID w207 already defined, line 277, column 184 (C_0089.xml, line 277)"
./data/editions/A_0001.xml,"ID facs_3_r1001 already defined, line 197, column 96 (A_0001.xml, line 197)"
./data/editions/A_0002.xml,"ID facs_3_r1002 already defined, line 127, column 92 (A_0002.xml, line 127)"
